	253	UD@g
	3	udru
	3731	udu
	1	udug
	20	udul2
	1	udul5
	55	ug
	20	ug2
	1869	ug3
	245	ug5
	2	ug6
	22	ug7
	1	ugal
	23	ugnim
	579	ugu2
	18	ugu4
	463	ugula
	89	ugur2
	142	uh
	1689	uh2
	79	uh3
	161	uk
	720	ukken
	1	ukkin
	241	uku2
	4	ukusz2
	832	ul
	38	ul3
	76	ul4
	100	ulu3
	11732	um
	24	umbin
	1493	umma
	2	ummeda
	21	ummu3
	1	umusz
	889	un
	1113	unu
	8	unu2
	194	unu3
	2126	unu6
	4	up
	16	uq
	79902	ur
	3469	ur2
	2691	ur3
	2573	ur4
	3045	ur5
	1	UR@g
	536	uri
	13	uri2
	67	uri3
	9272	uri5
	459	urta
	3	uru
	554	uru11
	1	uru12
	17	uru16
	2	uru2
	427	uru4
	9	uru5
	150	urua
	52	uruda
	2	urum2
	11	us
	2	uš
	18458	us2
	5	usan3
	5391	usz
	2	usz11
	4342	usz2
	2	usz7
	33	uszum
	192	uszumgal
	5	uszur
	52	uszur2
	193	uszur3
	394	uszur4
	42	ut
	1	ut5
	4950	utu
	1	utu2
	11	utul2
	2	utul4
	1065	uz
	66	uzu
	2055	wa
	2	wa3
	607	we
	172	wi
	28	wu
	11850	za
	1388	za3
	40	zabala
	2	zabala2
	278	zabala3
	29	zabala4
	6	zabala5
	3	zabala6
	930	zabar
	36	zadim
	1	zag
	3	zah
	14	zah2
	193	zah3
	5293	zal
	51	zalag
	8	zalag2
	2	zaq
	3	zar
	17	zar3
	17	ze
	732	ze2
	31655	zi
	61	zi2
	3323	zi3
	2	zi7
	1	zib
	242	zigum
	21	zimbir
	160	ziz2
	14178	zu
	3109	zu2
	1	zu3
	9	zubi
	74	zuh
	2	zuluhu2
	164	zum
	7	zur
